epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6359,1.54108,1.65569,1.61013,0.66949,0.55855,0.5908,0.29616,1.68906,1.5847,1.73132,9.84375e-05,9.84375e-05,0.0672859
2,27.0387,1.50184,1.55565,1.57287,0.76269,0.62153,0.74282,0.40288,1.51715,1.2236,1.51244,0.000189508,0.000189508,0.0340437
3,39.3437,1.47318,1.53116,1.53674,0.79675,0.66022,0.76646,0.43641,1.47113,1.1374,1.47568,0.000271578,0.000271578,0.000792411
4,51.644,1.40609,1.42494,1.50012,0.8431,0.62694,0.77528,0.43678,1.45479,1.09562,1.45438,0.0002595,0.0002595,0.0002595
5,64.0126,1.38749,1.43957,1.48935,0.78829,0.67157,0.78488,0.44984,1.44356,1.05052,1.44726,0.000246,0.000246,0.000246
6,76.4484,1.40203,1.34729,1.47293,0.77214,0.67021,0.77002,0.44426,1.46106,1.04809,1.4614,0.0002325,0.0002325,0.0002325
7,88.9716,1.35674,1.30982,1.45275,0.80115,0.65427,0.76709,0.4437,1.45329,1.0472,1.45637,0.000219,0.000219,0.000219
8,101.48,1.35487,1.31753,1.45549,0.817,0.67472,0.78531,0.4544,1.46864,1.04836,1.46943,0.0002055,0.0002055,0.0002055
9,114.018,1.34285,1.33138,1.46398,0.81825,0.65741,0.77313,0.45573,1.45777,1.03641,1.45276,0.000192,0.000192,0.000192
10,126.434,1.33532,1.27804,1.44011,0.81539,0.65719,0.77804,0.45369,1.45644,1.03241,1.46161,0.0001785,0.0001785,0.0001785
11,138.324,1.30953,1.16913,1.44234,0.84319,0.67708,0.79292,0.45676,1.4305,1.03877,1.43355,0.000165,0.000165,0.000165
12,150.241,1.26586,1.10274,1.4208,0.79217,0.71179,0.79712,0.46721,1.40366,1.00387,1.4184,0.0001515,0.0001515,0.0001515
13,162.107,1.2736,1.07815,1.42894,0.82812,0.69175,0.79547,0.46867,1.39397,0.97982,1.4114,0.000138,0.000138,0.000138
14,174.042,1.2615,1.08307,1.42026,0.8544,0.67189,0.80163,0.4708,1.39713,0.97896,1.41547,0.0001245,0.0001245,0.0001245
15,185.951,1.21982,1.0166,1.40043,0.82578,0.6994,0.80623,0.47499,1.38275,0.95091,1.40297,0.000111,0.000111,0.000111
16,197.904,1.25291,1.05277,1.41568,0.84455,0.69494,0.81172,0.48208,1.3812,0.95218,1.40059,9.75e-05,9.75e-05,9.75e-05
17,209.793,1.21248,1.03563,1.40299,0.87026,0.72508,0.81654,0.49339,1.38312,0.93843,1.40317,8.4e-05,8.4e-05,8.4e-05
18,221.771,1.19423,0.99605,1.35326,0.83853,0.71143,0.81946,0.4936,1.3851,0.93967,1.40391,7.05e-05,7.05e-05,7.05e-05
19,233.839,1.18962,0.98354,1.35733,0.83302,0.73537,0.81977,0.49117,1.38651,0.93676,1.40225,5.7e-05,5.7e-05,5.7e-05
20,245.91,1.18836,1.01304,1.37576,0.80199,0.74256,0.81333,0.489,1.38676,0.93632,1.39907,4.35e-05,4.35e-05,4.35e-05
